Year,Month,UnemploymentRate
2020,1,3.6
2020,2,3.5
2020,3,4.4
2020,4,14.8
2020,5,13.3
2020,6,11.1
2020,7,10.2
2020,8,8.4
2020,9,7.8
2020,10,6.9
2020,11,6.7
2020,12,6.3
2021,1,6.3
2021,2,6.2
2021,3,6.0
2021,4,5.8
2021,5,5.8
2021,6,5.9
2021,7,5.4
2021,8,5.2
2021,9,4.8
2021,10,4.6
2021,11,4.2
2021,12,3.9
2022,1,4.0
2022,2,3.8
2022,3,3.6
2022,4,3.6
2022,5,3.6
2022,6,3.6
2022,7,3.5
2022,8,3.7
2022,9,3.5
2022,10,3.7
2022,11,3.7
2022,12,3.5
2023,1,3.4
2023,2,3.6
2023,3,3.5
2023,4,3.4
2023,5,3.7
2023,6,3.6
2023,7,3.5
2023,8,3.8
2023,9,3.8
2023,10,3.9
2023,11,3.7
2023,12,3.7
